uri,cid,text,created_at,keyword,lang,author_handle,author_did,author_display_name,author_description,author_avatar,author_followers_count,author_following_count,author_posts_count,author_verified,like_count,repost_count,reply_count,total_engagement,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,has_media,is_reply
at://did:plc:4i2p6efnoyyvswe4kp7efalt/app.bsky.feed.post/3m2da6evlk22s,bafyreicki3xmveubhj6kqg6gjrwrwelnwmfiiebhfgd25777owqxrauef4,"To get a understanding as to how this all unfolded; we have to go back to the end of slavery and implementation the Black Codes. Freed Blacks were arrested for simply being unemployed & homeless. They were placed in jail and fined; which many could (cont)

law.jrank.org/pages/2818/J...",2025-10-03T23:33:50.144Z,homeless,en,eddsmitty.bsky.social,did:plc:4i2p6efnoyyvswe4kp7efalt,Eddie Smith,,https://cdn.bsky.app/img/avatar/plain/did:plc:4i2p6efnoyyvswe4kp7efalt/bafkreiajfyt2bldx7ancrudnr4u3ykk4bfjznlijgwkwy4i3gvagr4xhtq@jpeg,93383,15625,3202,False,7,2,1,10,47,286,0,0,0,,,True,True
at://did:plc:uq4s7o25dyufxmf3zfbvqhxi/app.bsky.feed.post/3m2d7yg56ps2u,bafyreidkj244suojvwddkgleszwcxlnu4e6ih3vdxgkrpazwflkuiv3lii,"💕💸
💕💸🏳️‍⚧️
My homeless fam still owes the bank some money but we also need to raise money for a phone bill that if goes unpaid will get us cut off until we can pay it

Ty to anyone able to help

0/500
ko-fi.com/kittydoesstuff",2025-10-03T23:30:30.116Z,homeless,en,kittydoesstuff.bsky.social,did:plc:uq4s7o25dyufxmf3zfbvqhxi,Kitty 🎨📝,,https://cdn.bsky.app/img/avatar/plain/did:plc:uq4s7o25dyufxmf3zfbvqhxi/bafkreicznwjnwijhw3aqqpifazpow7ego435gkkxiaar7tzzpfjlhs64im@jpeg,46,88,167,False,0,0,0,0,44,225,0,0,0,,,True,False
at://did:plc:6m2oisr7a2cis2cmxlqlj4kd/app.bsky.feed.post/3m2d7xyfmdk27,bafyreidfgskqyhorpatkzszmiphm7a7immorpdsxdwzun35bfkzyum6gay,Pickens County’s first and only homeless shelter may have to find a new home as it faces possible eviction.,2025-10-03T23:30:15.651Z,homeless,en,wspa.com,did:plc:6m2oisr7a2cis2cmxlqlj4kd,WSPA 7NEWS,,https://cdn.bsky.app/img/avatar/plain/did:plc:6m2oisr7a2cis2cmxlqlj4kd/bafkreig62lca73b5zrnywwcehxlkes7cawg5wkd73odryq4qwd2mepbsgi@jpeg,83,5,6879,False,0,0,0,0,19,107,0,0,0,,,True,False
at://did:plc:j5j6fb7mb6ratgeu37p7qnpt/app.bsky.feed.post/3m2d7wmsdus27,bafyreihee56y3isou7regldvujkre5p6dlrr3vqs5oi67d4hoapj37szk4,Barbershop secured for tomorrow ! I won’t look homeless no more 😩😩😩,2025-10-03T23:29:29.992Z,homeless,en,powjones.bsky.social,did:plc:j5j6fb7mb6ratgeu37p7qnpt,xoxopowjones,,https://cdn.bsky.app/img/avatar/plain/did:plc:j5j6fb7mb6ratgeu37p7qnpt/bafkreicafqb53czuaum5aavr76sykvgks63r7iipgwb52tacx24i3wkx2e@jpeg,1090,500,4375,False,2,0,1,3,12,67,0,0,0,,,False,False
at://did:plc:a3mv242azt5e24weajdciiws/app.bsky.feed.post/3m2d7tfrcyk2m,bafyreicm2p6empxmowq54dblevqbvsr2dmj2nzm4dpdm2zhqbnmgzwkzdi,Wow..extorting homeless minors for money.. a new low.. when you think they have been low down on everything ..,2025-10-03T23:27:41.954Z,homeless,en,annonamouspixie.bsky.social,did:plc:a3mv242azt5e24weajdciiws,anonamouspixie,,https://cdn.bsky.app/img/avatar/plain/did:plc:a3mv242azt5e24weajdciiws/bafkreierw536xxxyftnsvqvsu52ewo3gpznpoaylawljgb7l6gumlerbje@jpeg,13471,17710,10752,False,0,0,0,0,19,110,0,0,0,,,False,True
at://did:plc:d5mv4imcb5l3b5mi4hk6tdg3/app.bsky.feed.post/3m2d7sjtbmk22,bafyreieo6bdahqb3pcpo4fkfnzutfpngj4x233gzlvsrlbos3pgqhfpqgq,"For a nanosecond today, Kristi Noem felt what a homeless person may go through all the time, just wanting some basic dignity with everyday human functioning. She cannot strip basic rights from citizens, then demand her own in the same turn.",2025-10-03T23:27:12.658Z,homeless,en,superfinething.bsky.social,did:plc:d5mv4imcb5l3b5mi4hk6tdg3,just jenn,,https://cdn.bsky.app/img/avatar/plain/did:plc:d5mv4imcb5l3b5mi4hk6tdg3/bafkreiezpxybhmpf4lkgcfjoy3buhzzp3xur2wkpmdjpfiti55n22wxvyq@jpeg,326,361,1468,False,1,0,1,2,41,240,0,0,0,,,False,False
at://did:plc:umchpxsrim5n3gshl7y3edhm/app.bsky.feed.post/3m2d7rm5e5s2y,bafyreievdxpwov4mn3bh263psqpw6exi6fet42vrmj7ex63dinpzutftxe,"#AwesomeCharacters 
In Prophecies, Zedenko considers sleep ""a necessary and dangerous evil that he’d never been comfortable with."" He grew up homeless and alone, and sleep left him vulnerable to his scant possessions being stolen or himself being killed.

#WriteSky #WritingCommunity #WritingPrompts",2025-10-03T23:26:41.531Z,homeless,en,verosthewriter.bsky.social,did:plc:umchpxsrim5n3gshl7y3edhm,"Fox Veros, Novelist",,https://cdn.bsky.app/img/avatar/plain/did:plc:umchpxsrim5n3gshl7y3edhm/bafkreid6pc426rvzjt6vg4zm2nfe3skfntro6brqg3q7ff3rifp3tdbgeu@jpeg,917,200,9990,False,0,0,0,0,41,299,4,0,0,"#AwesomeCharacters,#WriteSky,#WritingCommunity,#WritingPrompts",,True,False
at://did:plc:63l72ulyw7qdlx2mcys2xv3w/app.bsky.feed.post/3m2d7nucp6c2n,bafyreidqqcezfw223amazpmxzsguslkayr7377hxbfda46bvtw7wuilgb4,"Euthanizing homeless people is insane and a crime against humanity.  It's folly, and fascism.  Plus to advocate such a rotten police state program is treason.  It is also an incitement to assault homeless people.  Then they blythely claim there's bothsidesism in responsibilty for political violence.",2025-10-03T23:24:35.878Z,homeless,en,danhowley.bsky.social,did:plc:63l72ulyw7qdlx2mcys2xv3w,,,https://cdn.bsky.app/img/avatar/plain/did:plc:63l72ulyw7qdlx2mcys2xv3w/bafkreideidt2c77h7ddxxezlqhrvovm4x4rvuezcjtjaoyiim7cfvt47ky@jpeg,44,14,637,False,0,0,0,0,45,300,0,0,0,,,False,False
at://did:plc:voa5jj4mjj2u76o7cp6qanjz/app.bsky.feed.post/3m2d7ndfyek2w,bafyreidpkgbb2p6d5tym2hvpuvvkyn7wb3dt2huozg52g2pgiyitidttz4,Lived Experience Worker - Healthcare for the Homeless Program - VIC St Vincent's Hospital Melbourne - Fitzroy Campus Job educativ.net/jobs/job/46324...,2025-10-03T19:24:17.932-04:00,homeless,en,educativ.bsky.social,did:plc:voa5jj4mjj2u76o7cp6qanjz,EduCativ,,https://cdn.bsky.app/img/avatar/plain/did:plc:voa5jj4mjj2u76o7cp6qanjz/bafkreifeqch6cretcv6fpr754s7qzygherjw6cbe26zlgid7cyprwnm7qu@jpeg,308,1,374767,False,0,0,0,0,20,151,0,0,0,,,False,False
at://did:plc:atdrmodkepcompmjojk2z5aj/app.bsky.feed.post/3m2d7k3ixpde2,bafyreibpimuhwypqsmpqv4bfpo7dii3el7j32dhuq3emds6bhwijs7jfo4,"Hey you. Yeah you. Do the thing.

You know, the thing. Whatever that thing is that you do. Do it to the betterment of your fellow man, woman or person and/or furcritter.

Each of us has something. We can give a dollar to a homeless guy. Cook food for a neighbor during a rough patch. Smile at an […]",2025-10-03T23:22:18.000Z,homeless,en,josh.hactivedirectory.com.ap.brid.gy,did:plc:atdrmodkepcompmjojk2z5aj,"Josh, allegedly",,https://cdn.bsky.app/img/avatar/plain/did:plc:atdrmodkepcompmjojk2z5aj/bafkreihapks6ua4d4qfqhy5t2ingo5c3bgnyokvv2z3gwnxc5zatcsisny@jpeg,23,13,1508,False,0,0,0,0,59,299,0,0,0,,,True,False
